delta,theta,alpha,beta
115210.04677171765,8210.019122006863,1512.2729649378414,5896.928389724279
50631.80949203613,3419.6417773424387,1227.4280109516562,6853.404101357337
28889.298450785864,4236.311661607053,1603.8240350474591,8818.99285584248
6346.7244071604255,3509.4191058807214,1528.2590319167357,9112.998884745468
21605.214014299494,8636.493180604746,3149.5151052340425,9669.247168168184
96465.61769944364,5348.0139026398965,2429.32214462347,6883.932905915142
44871.312471642894,3753.9208204197785,2031.0571403319002,6018.126779462674
58095.96481792575,12181.805787776078,3536.7574322030077,8281.74822166043
