timestamp,ch1,ch2,ch3,ch4,ch5
1760485177.5813348,0.0,0.0,0.0,-0.48828125,0.0
1760485177.5851943,0.9765625,0.0,-7.32421875,0.48828125,0.0
1760485177.589054,-6.34765625,-12.6953125,22.94921875,-2.9296875,0.0
1760485177.5929136,12.6953125,16.6015625,-84.47265625,3.90625,0.0
1760485177.5967731,-40.52734375,-110.3515625,227.5390625,-11.71875,0.0
1760485177.600633,-139.6484375,-497.55859375,7.32421875,-61.03515625,0.0
1760485177.6044924,-40.0390625,-537.59765625,-674.31640625,-59.08203125,0.0
1760485177.608352,66.89453125,-661.1328125,-431.640625,-2.44140625,0.0
1760485177.6122117,7.8125,-681.15234375,-197.75390625,-22.4609375,0.0
1760485177.6160712,-119.140625,-363.76953125,-141.11328125,-80.078125,0.0
1760485177.6199307,-30.2734375,-455.56640625,-136.23046875,-45.41015625,0.0
1760485177.6237905,87.890625,-536.1328125,-108.3984375,-4.8828125,0.0
1760485177.6267576,59.5703125,-270.99609375,-81.0546875,-26.85546875,0.0
1760485177.630543,-21.484375,-161.62109375,-66.40625,-43.45703125,0.0
1760485177.6343281,2.9296875,-389.16015625,-82.51953125,-15.625,0.0
1760485177.6381133,83.49609375,-329.1015625,-47.8515625,-0.9765625,0.0
1760485177.6418986,58.10546875,-84.47265625,-54.19921875,16.6015625,0.0
1760485177.6456838,4.8828125,-336.42578125,-67.3828125,43.9453125,0.0
1760485177.6494691,-10.25390625,-801.7578125,-103.02734375,61.5234375,0.0
1760485177.6532543,48.828125,-618.1640625,-32.71484375,16.6015625,0.0
1760485177.6570396,42.48046875,-83.49609375,-18.5546875,-15.625,0.0
1760485177.6608248,4.39453125,-271.97265625,-56.15234375,13.18359375,0.0
1760485177.66461,-84.47265625,-434.08203125,-71.2890625,-9.765625,0.0
1760485177.6683953,-17.578125,-57.6171875,-20.99609375,-23.92578125,0.0
1760485177.6696458,107.91015625,-91.796875,-55.17578125,46.875,0.0
1760485177.6733255,88.8671875,-328.61328125,-53.7109375,71.2890625,0.0
1760485177.677005,-46.38671875,-162.109375,-24.90234375,-6.8359375,0.0
1760485177.6806848,-18.5546875,63.96484375,-24.90234375,-22.4609375,0.0
1760485177.6843643,112.3046875,-181.640625,-48.33984375,54.19921875,0.0
1760485177.688044,81.0546875,-373.046875,-49.8046875,52.24609375,0.0
1760485177.6917236,-44.921875,-287.59765625,-45.41015625,-14.6484375,0.0
1760485177.6954033,-55.17578125,-299.8046875,-76.66015625,-9.27734375,0.0
1760485177.6990829,102.5390625,-625.9765625,-69.3359375,71.77734375,0.0
1760485177.7027626,89.35546875,-472.65625,-46.875,53.22265625,0.0
1760485177.706442,-24.90234375,-79.58984375,-20.01953125,5.37109375,0.0
1760485177.7101219,-51.26953125,-320.80078125,-74.70703125,28.80859375,0.0
1760485177.709887,43.9453125,-198.73046875,-20.01953125,12.20703125,0.0
1760485177.7134578,87.40234375,105.46875,-13.18359375,13.18359375,0.0
1760485177.7170289,39.55078125,111.81640625,0.9765625,27.83203125,0.0
1760485177.7205997,-29.78515625,-51.7578125,-33.203125,18.5546875,0.0
1760485177.7241707,39.55078125,34.66796875,-25.390625,25.87890625,0.0
1760485177.7277415,122.55859375,91.796875,-39.0625,52.734375,0.0
1760485177.7313123,93.26171875,-150.87890625,-60.546875,70.80078125,0.0
1760485177.7348833,-30.76171875,-501.953125,-67.87109375,60.546875,0.0
1760485177.738454,-85.44921875,-120.60546875,-31.25,-17.578125,0.0
1760485177.7420251,40.0390625,201.171875,-26.3671875,16.6015625,0.0
1760485177.745596,53.7109375,90.8203125,-38.57421875,39.55078125,0.0
1760485177.749167,-60.05859375,157.71484375,-20.5078125,-10.7421875,0.0
1760485177.7502692,-51.26953125,53.22265625,-72.265625,14.16015625,0.0
1760485177.7537885,97.16796875,-222.65625,-70.3125,65.91796875,0.0
1760485177.757308,89.35546875,-149.4140625,-62.5,43.45703125,0.0
1760485177.7608275,-31.25,85.9375,-29.296875,-8.7890625,0.0
1760485177.7643468,-85.44921875,-2.9296875,-74.21875,-15.13671875,0.0
1760485177.7678664,33.69140625,-231.93359375,-61.03515625,12.6953125,0.0
1760485177.771386,104.98046875,-207.03125,-53.22265625,56.640625,0.0
1760485177.7749052,45.8984375,-25.87890625,-34.1796875,46.38671875,0.0
1760485177.7784247,-13.18359375,-155.76171875,-80.078125,32.2265625,0.0
1760485177.7819443,74.70703125,-385.7421875,-67.3828125,25.87890625,0.0
1760485177.7854636,100.5859375,55.17578125,-11.23046875,-10.7421875,0.0
1760485177.788983,72.265625,312.01171875,-26.3671875,15.625,0.0
1760485177.790169,-19.53125,16.6015625,-54.6875,32.2265625,0.0
1760485177.7936497,-48.828125,39.0625,-51.7578125,-6.34765625,0.0
1760485177.79713,64.94140625,196.2890625,-38.0859375,-3.41796875,0.0
1760485177.8006108,103.02734375,-79.1015625,-81.54296875,47.36328125,0.0
1760485177.8040912,15.13671875,-160.15625,-51.7578125,20.01953125,0.0
1760485177.807572,-39.0625,-103.515625,-56.15234375,-10.7421875,0.0
1760485177.8110523,45.8984375,-54.19921875,-22.94921875,-11.71875,0.0
1760485177.814533,135.25390625,-409.66796875,-80.56640625,79.1015625,0.0
